
=========== Page Simulation ===========
----------- FIFO Start -----------
~~~~~ First In First Out ~~~~~
Memory: [ 5 X X X ]   Page Referenced: 5 | No eviction
Memory: [ 4 8 9 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 4 8 9 7 ]   Page Referenced: 7 | No eviction
Memory: [ 8 9 7 2 ]   Page Referenced: 2 | Page 4 evicted
Memory: [ 8 9 7 2 ]   Page Referenced: 2 | No eviction
Memory: [ 8 9 7 2 ]   Page Referenced: 2 | No eviction
Memory: [ 9 7 2 4 ]   Page Referenced: 4 | Page 8 evicted
Memory: [ 7 2 4 0 ]   Page Referenced: 0 | Page 9 evicted
Memory: [ 2 4 0 1 ]   Page Referenced: 1 | Page 7 evicted
Memory: [ 2 4 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 2 4 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 2 4 0 1 ]   Page Referenced: 2 | No eviction
Memory: [ 2 4 0 1 ]   Page Referenced: 2 | No eviction
Memory: [ 4 0 1 9 ]   Page Referenced: 9 | Page 2 evicted
Memory: [ 0 1 9 8 ]   Page Referenced: 8 | Page 4 evicted

Run 4 Hit Ratio: 47%
~~~~~ First In First Out ~~~~~
Memory: [ 0 X X X ]   Page Referenced: 0 | No eviction
Memory: [ 0 2 X X ]   Page Referenced: 2 | No eviction
Memory: [ 0 2 9 X ]   Page Referenced: 9 | No eviction
Memory: [ 0 2 9 X ]   Page Referenced: 2 | No eviction
Memory: [ 0 2 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 2 9 3 4 ]   Page Referenced: 4 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 3 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 3 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 2 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 2 | No eviction
Memory: [ 2 9 3 4 ]   Page Referenced: 2 | No eviction
Memory: [ 9 3 4 1 ]   Page Referenced: 1 | Page 2 evicted
Memory: [ 9 3 4 1 ]   Page Referenced: 4 | No eviction
Memory: [ 9 3 4 1 ]   Page Referenced: 4 | No eviction
Memory: [ 9 3 4 1 ]   Page Referenced: 3 | No eviction
Memory: [ 9 3 4 1 ]   Page Referenced: 4 | No eviction
Memory: [ 3 4 1 2 ]   Page Referenced: 2 | Page 9 evicted
Memory: [ 3 4 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 3 4 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 3 4 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 3 4 1 2 ]   Page Referenced: 3 | No eviction
Memory: [ 3 4 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 4 1 2 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 1 2 7 8 ]   Page Referenced: 8 | Page 4 evicted
Memory: [ 2 7 8 9 ]   Page Referenced: 9 | Page 1 evicted
Memory: [ 2 7 8 9 ]   Page Referenced: 8 | No eviction
Memory: [ 2 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 2 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 2 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 2 7 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 8 9 4 ]   Page Referenced: 4 | Page 2 evicted
Memory: [ 8 9 4 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 8 9 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 9 4 5 6 ]   Page Referenced: 6 | Page 8 evicted
Memory: [ 4 5 6 2 ]   Page Referenced: 2 | Page 9 evicted
Memory: [ 5 6 2 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 5 6 2 3 ]   Page Referenced: 2 | No eviction
Memory: [ 5 6 2 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 6 2 3 ]   Page Referenced: 2 | No eviction
Memory: [ 6 2 3 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 2 3 8 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 3 8 7 4 ]   Page Referenced: 4 | Page 2 evicted
Memory: [ 3 8 7 4 ]   Page Referenced: 3 | No eviction
Memory: [ 8 7 4 9 ]   Page Referenced: 9 | Page 3 evicted
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | Page 8 evicted
Memory: [ 7 4 9 5 ]   Page Referenced: 4 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 7 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 4 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 4 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 4 | No eviction
Memory: [ 7 4 9 5 ]   Page Referenced: 5 | No eviction
Memory: [ 4 9 5 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 4 9 5 6 ]   Page Referenced: 6 | No eviction
Memory: [ 4 9 5 6 ]   Page Referenced: 6 | No eviction
Memory: [ 9 5 6 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 5 6 7 8 ]   Page Referenced: 8 | Page 9 evicted
Memory: [ 5 6 7 8 ]   Page Referenced: 8 | No eviction
Memory: [ 5 6 7 8 ]   Page Referenced: 8 | No eviction
Memory: [ 6 7 8 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 6 7 8 4 ]   Page Referenced: 6 | No eviction
Memory: [ 7 8 4 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 7 8 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 7 8 4 5 ]   Page Referenced: 4 | No eviction
Memory: [ 7 8 4 5 ]   Page Referenced: 4 | No eviction
Memory: [ 8 4 5 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 4 5 3 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 5 3 7 6 ]   Page Referenced: 6 | Page 4 evicted
Memory: [ 3 7 6 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 7 6 8 9 ]   Page Referenced: 9 | Page 3 evicted
Memory: [ 6 8 9 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 6 8 9 0 ]   Page Referenced: 6 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 6 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 6 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 6 | No eviction
Memory: [ 8 9 0 2 ]   Page Referenced: 2 | Page 6 evicted
Memory: [ 9 0 2 3 ]   Page Referenced: 3 | Page 8 evicted
Memory: [ 0 2 3 4 ]   Page Referenced: 4 | Page 9 evicted
Memory: [ 2 3 4 5 ]   Page Referenced: 5 | Page 0 evicted
Memory: [ 2 3 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 2 3 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 2 3 4 5 ]   Page Referenced: 5 | No eviction
Memory: [ 3 4 5 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 4 5 6 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 5 6 7 8 ]   Page Referenced: 8 | Page 4 evicted
Memory: [ 6 7 8 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 7 8 4 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 8 4 5 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 8 4 5 6 ]   Page Referenced: 8 | No eviction
Memory: [ 4 5 6 9 ]   Page Referenced: 9 | Page 8 evicted
Memory: [ 5 6 9 0 ]   Page Referenced: 0 | Page 4 evicted
Memory: [ 5 6 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 6 9 0 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 6 9 0 8 ]   Page Referenced: 8 | No eviction
Memory: [ 6 9 0 8 ]   Page Referenced: 9 | No eviction
Memory: [ 6 9 0 8 ]   Page Referenced: 9 | No eviction

Run 5 Hit Ratio: 56%
----------- LRU Start -----------
~~~~~ Least Recently Used ~~~~~
Memory: [ 2 X X X ]   Page Referenced: 2 | No eviction
Memory: [ 2 9 X X ]   Page Referenced: 9 | No eviction
Memory: [ 2 9 0 X ]   Page Referenced: 0 | No eviction
Memory: [ 2 9 0 X ]   Page Referenced: 0 | No eviction
Memory: [ 2 9 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 2 9 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 9 0 1 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 0 1 3 4 ]   Page Referenced: 4 | Page 9 evicted
Memory: [ 1 3 4 9 ]   Page Referenced: 9 | Page 0 evicted
Memory: [ 1 3 4 9 ]   Page Referenced: 9 | No eviction
Memory: [ 3 4 9 5 ]   Page Referenced: 5 | Page 1 evicted
Memory: [ 4 9 5 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 4 9 5 6 ]   Page Referenced: 6 | No eviction
Memory: [ 9 5 6 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 5 6 7 8 ]   Page Referenced: 8 | Page 9 evicted
Memory: [ 6 7 8 9 ]   Page Referenced: 9 | Page 5 evicted
Memory: [ 6 7 8 3 ]   Page Referenced: 3 | Page 9 evicted
Memory: [ 6 7 8 4 ]   Page Referenced: 4 | Page 3 evicted
Memory: [ 6 7 8 5 ]   Page Referenced: 5 | Page 4 evicted
Memory: [ 7 5 8 4 ]   Page Referenced: 4 | Page 6 evicted
Memory: [ 7 5 8 0 ]   Page Referenced: 0 | Page 4 evicted
Memory: [ 7 5 8 0 ]   Page Referenced: 0 | No eviction
Memory: [ 5 8 0 4 ]   Page Referenced: 4 | Page 7 evicted
Memory: [ 5 8 0 4 ]   Page Referenced: 4 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 9 | Page 5 evicted
Memory: [ 8 0 4 9 ]   Page Referenced: 0 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 9 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 0 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 9 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 9 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 8 | No eviction
Memory: [ 8 0 4 9 ]   Page Referenced: 8 | No eviction
Memory: [ 0 9 8 7 ]   Page Referenced: 7 | Page 4 evicted
Memory: [ 0 9 8 7 ]   Page Referenced: 7 | No eviction
Memory: [ 9 8 7 6 ]   Page Referenced: 6 | Page 0 evicted
Memory: [ 9 8 7 6 ]   Page Referenced: 8 | No eviction
Memory: [ 9 8 7 6 ]   Page Referenced: 9 | No eviction
Memory: [ 7 8 9 0 ]   Page Referenced: 0 | Page 6 evicted
Memory: [ 7 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 8 9 0 1 ]   Page Referenced: 1 | Page 7 evicted
Memory: [ 8 9 0 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 8 9 0 2 ]   Page Referenced: 9 | No eviction
Memory: [ 8 9 0 2 ]   Page Referenced: 8 | No eviction
Memory: [ 8 9 0 2 ]   Page Referenced: 8 | No eviction
Memory: [ 8 9 0 2 ]   Page Referenced: 8 | No eviction
Memory: [ 0 9 8 7 ]   Page Referenced: 7 | Page 2 evicted
Memory: [ 7 9 8 6 ]   Page Referenced: 6 | Page 0 evicted
Memory: [ 7 9 8 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 7 9 8 6 ]   Page Referenced: 6 | Page 5 evicted
Memory: [ 7 9 8 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 7 9 8 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 9 4 8 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 9 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 5 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 5 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 5 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 9 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 8 5 4 6 ]   Page Referenced: 6 | Page 9 evicted
Memory: [ 8 5 4 6 ]   Page Referenced: 8 | No eviction
Memory: [ 5 4 8 0 ]   Page Referenced: 0 | Page 6 evicted
Memory: [ 5 4 8 0 ]   Page Referenced: 0 | No eviction
Memory: [ 4 8 0 1 ]   Page Referenced: 1 | Page 5 evicted
Memory: [ 4 8 0 2 ]   Page Referenced: 2 | Page 1 evicted
Memory: [ 4 8 0 2 ]   Page Referenced: 2 | No eviction
Memory: [ 8 0 2 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 3 0 2 1 ]   Page Referenced: 1 | Page 8 evicted
Memory: [ 3 0 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 3 0 2 1 ]   Page Referenced: 0 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 9 | Page 3 evicted
Memory: [ 1 2 0 8 ]   Page Referenced: 8 | Page 9 evicted
Memory: [ 8 2 0 3 ]   Page Referenced: 3 | Page 1 evicted
Memory: [ 8 2 0 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 8 2 0 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 5 2 0 6 ]   Page Referenced: 6 | Page 8 evicted
Memory: [ 5 2 0 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 5 2 0 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 5 2 0 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 5 2 0 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 2 8 0 7 ]   Page Referenced: 7 | Page 5 evicted
Memory: [ 2 8 0 7 ]   Page Referenced: 8 | No eviction
Memory: [ 2 8 0 7 ]   Page Referenced: 8 | No eviction
Memory: [ 2 0 8 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 0 5 8 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 0 5 8 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 0 5 8 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 0 5 8 3 ]   Page Referenced: 3 | Page 6 evicted
Memory: [ 5 3 8 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 5 3 8 7 ]   Page Referenced: 8 | No eviction
Memory: [ 7 3 8 9 ]   Page Referenced: 9 | Page 5 evicted
Memory: [ 7 3 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 3 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 3 8 9 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 3 8 9 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 2 8 9 1 ]   Page Referenced: 1 | Page 3 evicted
Memory: [ 2 8 9 1 ]   Page Referenced: 2 | No eviction
Memory: [ 2 8 9 1 ]   Page Referenced: 1 | No eviction
Memory: [ 9 2 1 0 ]   Page Referenced: 0 | Page 8 evicted
Memory: [ 9 2 1 0 ]   Page Referenced: 9 | No eviction

Run 1 Hit Ratio: 41%
~~~~~ Least Recently Used ~~~~~
Memory: [ 3 X X X ]   Page Referenced: 3 | No eviction
Memory: [ 3 9 X X ]   Page Referenced: 9 | No eviction
Memory: [ 3 9 0 X ]   Page Referenced: 0 | No eviction
Memory: [ 3 9 0 X ]   Page Referenced: 9 | No eviction
Memory: [ 3 9 0 6 ]   Page Referenced: 6 | No eviction
Memory: [ 3 9 0 6 ]   Page Referenced: 6 | No eviction
Memory: [ 3 9 0 6 ]   Page Referenced: 6 | No eviction
Memory: [ 0 9 6 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 0 9 6 7 ]   Page Referenced: 9 | No eviction
Memory: [ 6 7 9 8 ]   Page Referenced: 8 | Page 0 evicted
Memory: [ 7 9 8 3 ]   Page Referenced: 3 | Page 6 evicted
Memory: [ 7 9 8 5 ]   Page Referenced: 5 | Page 3 evicted
Memory: [ 9 8 5 6 ]   Page Referenced: 6 | Page 7 evicted
Memory: [ 6 8 5 7 ]   Page Referenced: 7 | Page 9 evicted
Memory: [ 6 8 5 7 ]   Page Referenced: 8 | No eviction
Memory: [ 7 5 8 9 ]   Page Referenced: 9 | Page 6 evicted
Memory: [ 7 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 7 5 8 9 ]   Page Referenced: 9 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 5 8 9 3 ]   Page Referenced: 3 | No eviction
Memory: [ 8 9 3 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 8 9 3 2 ]   Page Referenced: 2 | No eviction
Memory: [ 9 3 2 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 9 3 2 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 9 3 2 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 9 3 2 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 0 3 2 1 ]   Page Referenced: 1 | Page 9 evicted
Memory: [ 0 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 0 3 2 1 ]   Page Referenced: 3 | No eviction
Memory: [ 0 3 2 1 ]   Page Referenced: 2 | No eviction
Memory: [ 0 3 2 1 ]   Page Referenced: 0 | No eviction
Memory: [ 3 2 0 7 ]   Page Referenced: 7 | Page 1 evicted
Memory: [ 3 2 0 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 3 2 0 9 ]   Page Referenced: 9 | Page 8 evicted
Memory: [ 3 2 0 1 ]   Page Referenced: 1 | Page 9 evicted
Memory: [ 3 2 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 3 2 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 3 2 0 1 ]   Page Referenced: 2 | No eviction
Memory: [ 3 2 0 1 ]   Page Referenced: 2 | No eviction
Memory: [ 0 1 2 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 0 1 2 7 ]   Page Referenced: 7 | No eviction
Memory: [ 1 2 7 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 1 2 7 4 ]   Page Referenced: 2 | No eviction
Memory: [ 1 2 7 4 ]   Page Referenced: 1 | No eviction
Memory: [ 4 2 1 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 4 2 1 3 ]   Page Referenced: 2 | No eviction
Memory: [ 4 1 2 6 ]   Page Referenced: 6 | Page 3 evicted
Memory: [ 4 1 2 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 1 7 2 8 ]   Page Referenced: 8 | Page 4 evicted
Memory: [ 1 7 2 8 ]   Page Referenced: 7 | No eviction
Memory: [ 1 7 2 8 ]   Page Referenced: 8 | No eviction
Memory: [ 1 7 2 8 ]   Page Referenced: 1 | No eviction
Memory: [ 1 7 2 8 ]   Page Referenced: 1 | No eviction
Memory: [ 7 8 1 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 7 8 1 4 ]   Page Referenced: 4 | Page 3 evicted
Memory: [ 7 8 1 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 7 8 1 5 ]   Page Referenced: 5 | Page 3 evicted
Memory: [ 7 8 1 4 ]   Page Referenced: 4 | Page 5 evicted
Memory: [ 4 8 1 3 ]   Page Referenced: 3 | Page 7 evicted
Memory: [ 4 8 1 7 ]   Page Referenced: 7 | Page 3 evicted
Memory: [ 8 7 1 2 ]   Page Referenced: 2 | Page 4 evicted
Memory: [ 7 1 2 3 ]   Page Referenced: 3 | Page 8 evicted
Memory: [ 7 1 2 3 ]   Page Referenced: 2 | No eviction
Memory: [ 7 1 2 3 ]   Page Referenced: 1 | No eviction
Memory: [ 7 2 1 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 0 2 1 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 8 2 1 7 ]   Page Referenced: 7 | Page 0 evicted
Memory: [ 8 2 1 5 ]   Page Referenced: 5 | Page 7 evicted
Memory: [ 8 2 1 5 ]   Page Referenced: 8 | No eviction
Memory: [ 8 2 1 5 ]   Page Referenced: 8 | No eviction
Memory: [ 2 1 8 9 ]   Page Referenced: 9 | Page 5 evicted
Memory: [ 2 1 8 0 ]   Page Referenced: 0 | Page 9 evicted
Memory: [ 2 1 8 3 ]   Page Referenced: 3 | Page 0 evicted
Memory: [ 2 1 8 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 2 1 8 4 ]   Page Referenced: 4 | Page 0 evicted
Memory: [ 1 4 8 5 ]   Page Referenced: 5 | Page 2 evicted
Memory: [ 1 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 1 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 1 4 8 5 ]   Page Referenced: 4 | No eviction
Memory: [ 1 8 4 3 ]   Page Referenced: 3 | Page 5 evicted
Memory: [ 1 8 4 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 1 8 4 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 4 1 0 ]   Page Referenced: 0 | Page 2 evicted
Memory: [ 8 4 1 2 ]   Page Referenced: 2 | Page 0 evicted
Memory: [ 8 4 1 2 ]   Page Referenced: 2 | No eviction
Memory: [ 4 1 2 5 ]   Page Referenced: 5 | Page 8 evicted
Memory: [ 4 1 2 5 ]   Page Referenced: 4 | No eviction
Memory: [ 4 1 2 5 ]   Page Referenced: 4 | No eviction
Memory: [ 1 2 4 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 1 2 4 8 ]   Page Referenced: 8 | No eviction
Memory: [ 2 4 8 7 ]   Page Referenced: 7 | Page 1 evicted
Memory: [ 2 4 8 1 ]   Page Referenced: 1 | Page 7 evicted
Memory: [ 2 4 8 3 ]   Page Referenced: 3 | Page 1 evicted
Memory: [ 2 4 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 2 4 8 3 ]   Page Referenced: 3 | No eviction
Memory: [ 2 4 8 3 ]   Page Referenced: 4 | No eviction
Memory: [ 8 3 4 5 ]   Page Referenced: 5 | Page 2 evicted

Run 2 Hit Ratio: 43%
~~~~~ Least Recently Used ~~~~~
Memory: [ 1 X X X ]   Page Referenced: 1 | No eviction
Memory: [ 1 2 X X ]   Page Referenced: 2 | No eviction
Memory: [ 1 2 3 X ]   Page Referenced: 3 | No eviction
Memory: [ 1 2 3 X ]   Page Referenced: 3 | No eviction
Memory: [ 1 2 3 4 ]   Page Referenced: 4 | No eviction
Memory: [ 1 2 3 4 ]   Page Referenced: 4 | No eviction
Memory: [ 2 3 4 0 ]   Page Referenced: 0 | Page 1 evicted
Memory: [ 3 4 0 1 ]   Page Referenced: 1 | Page 2 evicted
Memory: [ 3 4 0 1 ]   Page Referenced: 1 | No eviction
Memory: [ 3 4 0 1 ]   Page Referenced: 3 | No eviction
Memory: [ 0 1 3 2 ]   Page Referenced: 2 | Page 4 evicted
Memory: [ 0 1 3 2 ]   Page Referenced: 1 | No eviction
Memory: [ 0 3 1 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 3 1 6 2 ]   Page Referenced: 2 | Page 0 evicted
Memory: [ 3 1 6 8 ]   Page Referenced: 8 | Page 2 evicted
Memory: [ 3 1 6 8 ]   Page Referenced: 8 | No eviction
Memory: [ 1 6 8 9 ]   Page Referenced: 9 | Page 3 evicted
Memory: [ 6 8 9 0 ]   Page Referenced: 0 | Page 1 evicted
Memory: [ 6 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 0 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 9 | No eviction
Memory: [ 6 8 9 0 ]   Page Referenced: 8 | No eviction
Memory: [ 0 9 8 5 ]   Page Referenced: 5 | Page 6 evicted
Memory: [ 9 8 5 6 ]   Page Referenced: 6 | Page 0 evicted
Memory: [ 9 8 5 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 9 8 5 7 ]   Page Referenced: 7 | No eviction
Memory: [ 8 5 7 4 ]   Page Referenced: 4 | Page 9 evicted
Memory: [ 4 5 7 3 ]   Page Referenced: 3 | Page 8 evicted
Memory: [ 4 5 7 3 ]   Page Referenced: 4 | No eviction
Memory: [ 5 7 4 1 ]   Page Referenced: 1 | Page 3 evicted
Memory: [ 5 7 4 1 ]   Page Referenced: 1 | No eviction
Memory: [ 7 4 1 2 ]   Page Referenced: 2 | Page 5 evicted
Memory: [ 7 4 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 7 4 1 9 ]   Page Referenced: 9 | Page 2 evicted
Memory: [ 9 4 1 8 ]   Page Referenced: 8 | Page 7 evicted
Memory: [ 4 8 1 7 ]   Page Referenced: 7 | Page 9 evicted
Memory: [ 4 8 1 7 ]   Page Referenced: 7 | No eviction
Memory: [ 4 8 1 7 ]   Page Referenced: 8 | No eviction
Memory: [ 4 8 1 7 ]   Page Referenced: 8 | No eviction
Memory: [ 4 8 1 7 ]   Page Referenced: 8 | No eviction
Memory: [ 4 8 1 7 ]   Page Referenced: 1 | No eviction
Memory: [ 7 8 1 9 ]   Page Referenced: 9 | Page 4 evicted
Memory: [ 7 8 1 9 ]   Page Referenced: 7 | No eviction
Memory: [ 8 1 7 2 ]   Page Referenced: 2 | Page 9 evicted
Memory: [ 8 1 7 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 8 1 7 5 ]   Page Referenced: 5 | Page 3 evicted
Memory: [ 8 1 7 6 ]   Page Referenced: 6 | Page 5 evicted
Memory: [ 8 1 7 6 ]   Page Referenced: 7 | No eviction
Memory: [ 8 1 7 2 ]   Page Referenced: 2 | Page 6 evicted
Memory: [ 8 1 7 2 ]   Page Referenced: 1 | No eviction
Memory: [ 8 7 1 3 ]   Page Referenced: 3 | Page 2 evicted
Memory: [ 3 7 1 2 ]   Page Referenced: 2 | Page 8 evicted
Memory: [ 3 7 1 8 ]   Page Referenced: 8 | Page 2 evicted
Memory: [ 3 7 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 3 7 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 3 7 1 8 ]   Page Referenced: 8 | No eviction
Memory: [ 3 7 1 8 ]   Page Referenced: 7 | No eviction
Memory: [ 3 7 1 8 ]   Page Referenced: 7 | No eviction
Memory: [ 3 7 1 8 ]   Page Referenced: 7 | No eviction
Memory: [ 1 8 7 0 ]   Page Referenced: 0 | Page 3 evicted
Memory: [ 8 0 7 6 ]   Page Referenced: 6 | Page 1 evicted
Memory: [ 8 0 7 2 ]   Page Referenced: 2 | Page 6 evicted
Memory: [ 8 0 7 4 ]   Page Referenced: 4 | Page 2 evicted
Memory: [ 8 0 7 3 ]   Page Referenced: 3 | Page 4 evicted
Memory: [ 8 0 7 2 ]   Page Referenced: 2 | Page 3 evicted
Memory: [ 8 0 7 2 ]   Page Referenced: 2 | No eviction
Memory: [ 8 0 7 2 ]   Page Referenced: 7 | No eviction
Memory: [ 8 0 7 2 ]   Page Referenced: 8 | No eviction
Memory: [ 8 0 7 2 ]   Page Referenced: 7 | No eviction
